month,bus,rail_boardings,total_rides,total_saturdays,sunday_or_holiday,total_weekdays
2024-01,12883065,8552283,21435348,4,5,22
2024-02,14408475,9300019,23708494,4,4,21
2024-03,14794052,10107439,24901491,5,5,21
2024-04,15615211,10458339,26073550,4,4,22
2024-05,16367601,11330441,27698042,4,5,22
2024-06,14742769,10928671,25671440,5,5,20
2024-07,15306884,11279758,26586642,4,5,22
2024-08,15534600,11744693,27279293,5,4,22
2024-09,16161092,11665977,27827069,4,6,20
2024-10,17514190,12630875,30145065,4,4,23
2024-11,14700298,10312595,25012893,5,5,20
2024-12,13705388,9152319,22857707,4,6,21
2025-01,13762257,9152197,22914454,4,5,22
2025-02,13725525,8781408,22506933,4,4,20
2025-03,15565051,10668550,26233601,5,5,21
2025-04,16281859,11247435,27529294,4,4,22
2025-05,16357704,11775315,28133019,5,5,21
2025-06,15096977,11828838,26925815,4,5,21
2025-07,15407467,12403716,27811183,4,5,22
2025-08,16263989,12970077,29234066,5,5,21
2025-09,16720898,12732813,29453711,4,5,21
2025-10,17126989,13324046,30451035,4,4,23
2025-11,14264012,10616667,24880679,5,6,19
