month,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,fog,heavy_fog,thunder,ice_pellets_sleet_small_hail,hail,glaze_or_rime,dust_volcanic_ash_blowing_dust_sand,smoke_or_haze,blowing_or_drifting_snow,tornado_waterspout_funnel_cloud,high_or_damaging_winds
2024-01,0.12889683180917172,0.4401592600325329,2.5098719603145967,26.193548387096776,30.561635944700463,21.258064516129032,27.0,7.0,0.0,4.0,1.0,4.0,0.0,9.0,2.0,0.0,1.0
2024-02,0.023022450950505997,0.04652435860203111,0.06502298434474332,39.13793103448276,48.44396551724138,28.939655172413794,18.0,4.0,5.0,1.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0
2024-03,0.13975586221035807,0.017691424143037045,0.016489122280570142,43.645161290322584,52.61059907834101,34.30587557603687,15.0,1.0,6.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
2024-04,0.16210718885820274,0.0005897435897435898,0.0,52.8,61.28333333333333,42.895833333333336,14.0,1.0,13.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,2.0
2024-05,0.1476407653885474,0.0,0.0,64.90322580645162,74.68951612903226,53.66532258064516,18.0,1.0,18.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0
2024-06,0.1507796450443635,0.0,0.0,74.03333333333333,83.12142857142858,63.68273809523809,16.0,1.0,11.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
2024-07,0.17562478209062213,0.0,0.0,74.54838709677419,82.95679723502305,65.51152073732719,18.0,2.0,9.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,4.0
2024-08,0.10943621538070225,0.0,0.0,74.45161290322581,82.97407834101382,64.84677419354838,11.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
2024-09,0.06957656388188346,0.0,0.015277777777777777,70.6,79.39047619047619,59.56488095238095,9.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2024-10,0.045895760208431426,0.0,0.0,59.774193548387096,69.88133640552995,47.75345622119816,7.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
2024-11,0.114420135708253,0.07477753727753728,0.012902777777777775,46.333333333333336,52.34583333333333,39.548809523809524,20.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
2024-12,0.063332375735356,0.0675152323822874,0.1662604518597368,32.45161290322581,38.141129032258064,25.161290322580644,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2025-01,0.03065841842740655,0.1514439752637942,0.5407783732814816,23.548387096774192,29.830645161290324,14.608870967741936,6.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
2025-02,0.04456583928425367,0.15602264649814532,0.9043364200201528,27.738095238095237,34.47767857142857,19.544642857142858,17.0,4.0,1.0,1.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0
2025-03,0.12228409270060489,0.060999250825929024,0.050624734637702166,44.3010752688172,54.350806451612904,33.641129032258064,15.0,1.0,8.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0
2025-04,0.10420772517024411,0.0,0.0,50.8,59.50833333333333,40.7875,15.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2025-05,0.0659577011433465,0.0,0.0,57.60215053763441,67.07949308755761,48.270161290322584,16.0,0.0,6.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0
2025-06,0.12036237921950249,0.0,0.0,73.81111111111112,82.87916666666666,63.38333333333333,16.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2025-07,0.17376234589078454,0.0,0.0,77.78494623655915,85.80472350230414,68.5241935483871,20.0,0.0,15.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0
2025-08,0.1821356325871066,0.0,0.0,74.41379310344827,81.69239631336406,64.52649769585254,16.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0
2025-09,0.041414437759341935,0.0,0.0,69.07142857142857,78.81607142857142,58.325,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,0.08736903478608143,0.0,0.0,58.39784946236559,66.40380184331798,49.55414746543779,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,0.08309731681681466,0.3723629202538815,0.49253143390318627,42.88888888888889,49.645833333333336,34.47083333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
